Date,Sales
2022-01-01,183.80478318281212
2022-01-02,114.94863046576643
2022-01-03,126.78036530072461
2022-01-04,152.02787654532273
2022-01-05,113.7227485257821
2022-01-06,149.97584285871625
2022-01-07,185.58020689514558
2022-01-08,145.01286332259133
2022-01-09,163.70078713309962
2022-01-10,191.3245769679808
2022-01-11,133.4934121990896
2022-01-12,161.43952995671816
2022-01-13,131.83112035583196
2022-01-14,145.9735565082792
2022-01-15,131.263486745852
2022-01-16,121.15650732219423
2022-01-17,156.38559264935117
2022-01-18,176.12726579091063
2022-01-19,155.21522230005223
2022-01-20,172.9363479155966
2022-01-21,111.2034109879385
2022-01-22,88.01324039001102
2022-01-23,169.1521751483802
2022-01-24,182.79406955873773
2022-01-25,150.99286332999114
2022-01-26,216.00178902123594
2022-01-27,194.08493989939493
2022-01-28,282.82854203845005
2022-01-29,138.85957430021674
2022-01-30,99.05756019523159
2022-01-31,112.09316046302432
2022-02-01,120.92510968126717
2022-02-02,173.10156917190574
2022-02-03,41.496571801937165
2022-02-04,215.42755090454182
2022-02-05,137.63517044288278
2022-02-06,137.3603221105624
2022-02-07,95.83284169875026
2022-02-08,144.188722427491
2022-02-09,150.66198838337667
2022-02-10,144.00275361998612
2022-02-11,167.15296279712152
2022-02-12,120.81839790244852
2022-02-13,105.60921197945865
2022-02-14,177.916406524899
2022-02-15,155.53337269078978
2022-02-16,160.55905275986837
2022-02-17,203.75136272209832
2022-02-18,99.77178043696571
2022-02-19,108.2379771374568
2022-02-20,213.9609825414497
2022-02-21,77.05583212129787
2022-02-22,85.8293926834493
2022-02-23,192.2930915592498
2022-02-24,163.41000960110193
2022-02-25,156.86160685296377
2022-02-26,147.11702959498083
2022-02-27,153.3633773513785
2022-02-28,147.29439426540222
2022-03-01,219.7721351297209
2022-03-02,132.19259356249623
2022-03-03,144.13132318611102
2022-03-04,242.02244026125368
2022-03-05,153.7754851014918
2022-03-06,264.1008194762589
2022-03-07,147.3510149490523
2022-03-08,221.07074912300791
2022-03-09,70.03279808451612
2022-03-10,160.58222304078333
2022-03-11,73.77632184245323
2022-03-12,195.3227153302293
2022-03-13,92.55660918954875
2022-03-14,167.4884777191673
2022-03-15,139.29020616547825
2022-03-16,95.58984074079856
2022-03-17,72.63200085512287
2022-03-18,128.1479768209945
2022-03-19,240.83147229476657
2022-03-20,139.22574725553113
2022-03-21,199.8610771057928
2022-03-22,151.24785661689057
2022-03-23,198.0363386845226
2022-03-24,62.95443108477413
2022-03-25,134.24058465752333
2022-03-26,201.97027618966092
2022-03-27,146.43725255834107
2022-03-28,150.37723586444764
2022-03-29,133.27690440571035
2022-03-30,212.36896916835622
2022-03-31,169.8757176977473
2022-04-01,157.30111380876738
2022-04-02,187.35272726696462
2022-04-03,184.71124645589686
2022-04-04,166.02935232187684
2022-04-05,232.85157484954223
2022-04-06,152.58562331804404
2022-04-07,169.6040523983972
2022-04-08,123.6523723323555
2022-04-09,163.40576135030648
2022-04-10,235.38807618726838
2022-04-11,123.93711991056306
2022-04-12,99.52035871807705
2022-04-13,206.1379821409908
2022-04-14,148.96169238831604
2022-04-15,161.3002102484885
2022-04-16,154.34433481533324
2022-04-17,160.65608619647674
2022-04-18,199.32653417617192
2022-04-19,114.94379047003632
2022-04-20,106.41129579472558
2022-04-21,161.3484068518854
2022-04-22,76.87801552750835
2022-04-23,88.64732319790359
2022-04-24,250.73415741658135
2022-04-25,195.3734165030702
2022-04-26,157.09717640654927
2022-04-27,219.600346797922
2022-04-28,105.77003849574277
2022-04-29,142.11984383070708
2022-04-30,189.1726804712191
2022-05-01,202.63358407156971
2022-05-02,183.84584234138882
2022-05-03,31.23805961558878
2022-05-04,109.9958941167711
2022-05-05,182.35340461784327
2022-05-06,140.80242534765966
2022-05-07,285.7115810379586
2022-05-08,205.12791504835485
2022-05-09,186.8040940309333
2022-05-10,103.15252231266382
2022-05-11,157.3351630198542
2022-05-12,171.2601982109476
2022-05-13,215.68918150639013
2022-05-14,203.45655485498162
2022-05-15,211.14945972599727
2022-05-16,113.4043992094999
2022-05-17,230.3075849149315
2022-05-18,90.77846238463655
2022-05-19,133.1042719166919
2022-05-20,181.5385567472821
2022-05-21,152.60542041334304
2022-05-22,109.89815710398041
2022-05-23,119.22250871984338
2022-05-24,82.98728385754788
2022-05-25,187.09873195035956
2022-05-26,223.62844225210745
2022-05-27,155.6803248299317
2022-05-28,140.78255924932884
2022-05-29,87.28385357667553
2022-05-30,206.6600962126089
2022-05-31,271.6652166619747
2022-06-01,71.32720978165511
2022-06-02,108.12835309226966
2022-06-03,127.4203478727928
2022-06-04,133.28410451587555
2022-06-05,172.96729750717404
2022-06-06,242.41247736401135
2022-06-07,212.2298643430052
2022-06-08,188.2798691387158
2022-06-09,125.8035647970699
2022-06-10,106.11858831597728
2022-06-11,122.36123468468494
